firm;lei
St Jamess Place PLC;213800M993ICXOMBCP87
Smiths Group PLC;213800MJL6IPZS3ASA11
Antofagasta PLC;213800MY6QVH4FVLD628
Softcat PLC;213800N42YZLR9GLVC42
LondonMetric Property PLC;213800OCERWWPQDURL87
Enagas SA;213800OU3FQKGM4M2U23
Burberry Group PLC;213800PE1KEFCNFR1R50
Bunzl PLC;213800Q1Q9DV4L78UM09
London Stock Exchange Group PLC;213800QAUUUP6I445N30
Hays PLC;213800QC8AWD4BO8TH08
Auto Trader Group PLC;213800QLK9BZILB1DI86
Dr. Martens Plc;213800QPT8YM6NQZPH28
ROCKWOOL AS;213800QRC7LNX935OZ09
Inchcape PLC;213800RGEH1MPPNM2T57
Melrose Industries PLC;213800RGNXXZY2M7TR85
Demant AS;213800RM6L9LN78BVA56
Games Workshop Group PLC;213800RP9QJQYGWHNT41
Severn Trent PLC;213800RPBXRETY4A4C59
Givaudan SA;213800SVRMQA1TD91D41
Atlas Copco AB;213800T8PC8Q4FYJZR07
Vodafone Group PLC;213800TB53ELEUKM7Q61
Royal Mail PLC;213800TCZZU84G8Z2M70
EQT AB;213800U7P9GOIRKCTB34
B&M European Value Retail SA;213800UK7ZRLY2K1X530
DCC PLC;213800UPS1QEE4TD3T45
Victrex PLC;213800UYNPHAUNHPXL67
Pennon Group PLC;213800V1CCTS41GWH423
Land Securities Group PLC;213800V8IAVKS37D6B88
J Sainsbury PLC;213800VGZAAJIKJ9Y484
Beazley PLC;213800VTOMUWD41GIT12
Close Brothers Group PLC;213800W73SYHR14I3X91
Big Yellow Group PLC;213800W7Q4V2ZI8LIW31
Vinci SA;213800WFQ334R8UXUG83
Spirax-Sarco Engineering PLC;213800WFVZQMHOZP2W17
Safestore Holdings PLC;213800WGA3YSJC1YOH73
Yara International ASA;213800WKOUWXWFJ5Z514
Next PLC;213800WQD8ECPZP9PH98
KBC Group NV;213800X3Q9LSAKRUWY91
Segro PLC;213800XC35KGM9NFC641
AVEVA Group PLC;213800XHATUM2LFMKG16
Persimmon PLC;213800XI72Y57UWN6F31
Trelleborg AB;213800XY16PAWG2PAD14
Primary Health Properties PLC;213800Y5CJHXOATK7X11
Barry Callebaut AG;213800Y5RWKLDPUTT265
Rio Tinto PLC;213800YOEO5OQ72G2R82
Rio Tinto PLC;213800YOEO5OQ72G2R82
Spectris PLC;213800Z4CO2CZO3M3T10
STMicroelectronics NV;213800Z8NOHIKRI42W10
OSB Group PLC;213800ZBKL9BHSL2K459
Virgin Money UK PLC;213800ZK9VGCYYR6O495
Tryg AS;213800ZRS8AC4LSTCE39
Smith & Nephew PLC;213800ZTMDN8S67S1H61
Diageo PLC;213800ZVIELEA55JMJ32
Allegro.eu SA;222100VRLXV3FPMG4982
Man Group PLCJersey;2549003YWC1DW6LALB09
M&G PLC;254900TWUJUQ44TQJY84
Jeronimo Martins SGPS SA;259400A8SZP10GB5IB19
Dino Polska SA;259400H4L81SMPRTW956
LPP SA;259400NUS7MKGPJL4752
LPP SA;259400NUS7MKGPJL4752
CD Projekt SA;259400TYO5Q8SH8TL437
Polski Koncern Naftowy ORLEN SA;259400VVMM70CQREJT74
Polski Koncern Naftowy ORLEN SA;259400VVMM70CQREJT74
_ArcelorMittal SA;2EULGUTUI56JI9SAL165
Intesa Sanpaolo SpA;2W8N8UU78PMDQKZENC08
3i Group PLC;35GDVHRBMFE7NWATNM84
Covestro AG;3912005AWHKLQ1CPLV11
LEG Immobilien SE;391200SO40AKONBO0Z96
HelloFresh SE;391200ZAF4V6XD2M9G57
DS Smith PLC;39RSBE4RCI4M15BLWH36
United Internet AG;3VEKWPJHTD4NKMBVG947
Evonik Industries AG;41GUOJQTALQHLF39XJ34
Belimo Holding AG;506700339DLX749VEM23
PSP Swiss Property AG;50670042Y437P8X44F56
Straumann Holding AG;50670046ML5FVIM60Z37
Allreal Holding AG;5067006XH174LA44H658
Temenos AG;5067007NW6550481FH64
Siegfried Holding AG;506700J9QD6IF3937W06
Bachem;506700S81111XI7TG884
Galenica AG;506700W4772BD8016Z20
Swiss Prime Site AG;506700XI9H64OPR34158
Volvo Car AB;5299000EAMGGBEYP7J33
SimCorp AS;5299000WVEJNSG42AK88
Bucher Industries AG;52990014AQ91A29HPB27
Knorr-Bremse AG;5299001GRRO0Z25YZT52
Knorr-Bremse AG;5299001GRRO0Z25YZT52
ams-OSRAM AG;5299001JPPT2QFTV5D76
Rheinmetall AG;5299001OU9CSE29O6S05
SSAB AB;529900329VS14ZIML164
Freenet AG;5299003GLDODCVP8DO20
Sonova Holding AG;5299004A0QNX7FBNHS61
Porsche Automobil Holding SE;52990053Z17ZYM1KFV27
Vonovia SE;5299005A2ZEP6AP7KM81
Siemens Energy AG;5299005CHJZ14D4FDJ62
KION Group AG;5299005KY91C4C6U9H17
Aurubis AG;5299005SHIN9ZK7GW242
Netcompany Group AS;5299006DEGAWX1Z1X779
Verbund AG;5299006UDSEJCTTEJS30
Schindler Holding AG;5299007DRLI319H7Q933
Schindler Holding AG;5299007DRLI319H7Q933
Julius Baer Group Ltd;5299007MF0604ZGJER92
Pandora AS;5299007OWYZ6I1E46843
MTU Aero Engines AG;529900807L67JY81RD65
Holmen AB;52990080SH3454F0QE68
Ambu AS;5299008W2A69WX355710
Sandvik AB;5299008ZUAXN43LVZF54
Geberit AG;52990093Z5OHD6T7BS47
Geberit AG;52990093Z5OHD6T7BS47
Pernod Ricard SA;52990097YFPX9J0H5D87
Continental AG;529900A7YD9C0LLXM621
L E Lundbergforetagen AB;529900BPSFZS6O3A9R04
Delivery Hero SE;529900C3EX1FZGE48X78
EDP - Energias de Portugal SA;529900CLC3WDMGI9VH80
Georg Fischer AG;529900CMRQYW4U1W2456
Tecan Group AG;529900CSN9R3BLETSL26
Royal Unibrew AS;529900D69KFL8IAP8Q63
SAP SE;529900D6BF99LW9R2E68
Symrise AG;529900D82I6R9601CF26
Aedifica SA;529900DTKNXL0AXQFN28
Holcim AG;529900EHPFPYHV6IQO98
Sartorius AG;529900EQV2DY4FOAMU38
Sartorius AG;529900EQV2DY4FOAMU38
Sartorius AG;529900EQV2DY4FOAMU38
Umicore SA;529900F3AIQECS8ZSV61
Evotec SE;529900F9KI6OYITO9B12
CTS Eventim AG & Co KGaA;529900FDHSN08UBJII80
Thales SA;529900FNDVTQJOVVPZ19
EMS-Chemie Holding AG;529900G1XFTGSE0DIX60
Deutsche Boerse AG;529900G3SW56SHYNPR95
Deutsche Boerse AG;529900G3SW56SHYNPR95
Baloise Holding AG;529900G5XKBZN48T6283
RWE AG;529900GB7KCA94ACC940
Carl Zeiss Meditec AG;529900GRL4MZ8NMOOK95
Puma SE;529900GRZ2BQY5ZM9N49
Aroundtown SA;529900H4DWG3KWMBMQ39
Bechtle AG;529900HA2QT774RUXW59
Eurofins Scientific SE;529900JEHFM47DYY3S57
L-Oreal_SA;529900JI1GG6F7RKVI53
Chocoladefabriken Lindt & Spruengli AG;529900JYJNNOKKAGK736
Rational AG;529900K139N6UFJ1A758
Allianz SE;529900K9B0N5BT694847
Hannover Rueck SE;529900KIN5BE45V5KB18
Vifor Pharma AG;529900KO6CN2D9OE1F19
HUGO BOSS AG;529900LFVU534EBRXD13
Genmab AS;529900MTJPDPE4MHJ122
Interroll Holding AG;529900MU4QAEI94TB543
Munich Re;529900MUF4C20K50JS49
EDP Renovaveis SA;529900MUFAH07Q1TAX06
VAT Group AG;529900MVFK7NVALR7Y83
Coloplast AS;529900NN7SOJ5QG82X67
Volkswagen AG;529900NNUPAGGOMPXZ31
Volkswagen AG;529900NNUPAGGOMPXZ31
ProSiebenSat.1 Media SE;529900NY0WWQUKOMWQ37
H & M Hennes & Mauritz AB;529900O5RR7R39FRDM42
Merck KGaA;529900OAREIS0MOPTW25
Nordea Bank Abp;529900ODI3047E2LIV03
Flughafen Zurich AG;529900PFO97GCN5SYB55
Deutsche Lufthansa AG;529900PH63HYJ86ASW55
Deutsche Lufthansa AG;529900PH63HYJ86ASW55
BASF SE;529900PM64WH8AF1E917
Swiss Re AG;529900PS9YW3YY29F326
LANXESS AG;529900PTLRE72EMYIJ77
Daimler Truck Holding AG;529900PW78JIYOUBSR24
Kuehne + Nagel International AG;529900Q0YED3805QXQ66
Siemens Healthineers AG;529900QBVWXMWANH7H45
Zurich Insurance Group AG;529900QVNRBND50TXP03
Nemetschek SE;529900R0S2IX1S358J38
Mercedes-Benz Group AG;529900R27DL06UVNT076
TotalEnergies SE;529900S21EQ1BO4ESM68
BAWAG Group AG;529900S9YO2JHTIIDG38
ALK-Abello AS;529900SGCREUZCZ7P020
TUI AG;529900SL2WSPV293B552
FUCHS PETROLUB SE;529900SNF9E1P5ZO4P98
Helvetia Holding AG;529900SUJBXTORH0LT80
Novozymes AS;529900T6WNZXD2R3JW38
TAG Immobilien AG;529900TAE68USJNXLR59
Clariant AG;529900VSEKBY7TMPP349
Wienerberger AG;529900VXIFBHO0SW2I31
Wienerberger AG;529900VXIFBHO0SW2I31
Adevinta ASA;529900W8V3YLHRSZH763
Prysmian SpA;529900X0H1IO3RS1A464
DSV AS;529900X41C0BSLK67H70
Leonardo SpA;529900X4EEX1U9LN3U39
Zalando SE;529900YRFFGH5AXU4S86
K+S AG;529900YURAYD4IJX2J91
Swedish Match AB;529900YVXCGNWAUYZG78
voestalpine AG;529900ZAXBMQDIWPNB72
Acciona SA;54930002KP75TLLLNO21
Signify NV;549300072P3J1X8NZO35
Sofina SA;5493000GMVR38VUO5D39
GSK PLC;5493000HZTVUYLO1D793
Swiss Life Holding AG;5493000KUC3Z24U77V93
Bank Polska Kasa Opieki SA;5493000LKS7B3UTF7H35
Bank Polska Kasa Opieki SA;5493000LKS7B3UTF7H35
Bank Polska Kasa Opieki SA;5493000LKS7B3UTF7H35
Bank Polska Kasa Opieki SA;5493000LKS7B3UTF7H35
Bank Polska Kasa Opieki SA;5493000LKS7B3UTF7H35
ABB Ltd;5493000LKVGOO9PELI61
ABB Ltd;5493000LKVGOO9PELI61
Etablissements Franz Colruyt NV;5493000O0NZ1BCXO8K39
Nexi SpA;5493000P70CQRQG8SN85
Nexi SpA;5493000P70CQRQG8SN85
Swedish Orphan Biovitrum AB;549300124Y3MQI87PT35
Atos SE;5493001EZOOA66PTBR68
Atos SE;5493001EZOOA66PTBR68
Atos SE;5493001EZOOA66PTBR68
Vitrolife AB;5493001WDZMONMSPPR49
Prudential PLC;5493001Z3ZE83NGK8Y12
Genus PLC;54930022EOITNKSIGH56
EXOR NV;5493002ENHZ6NYET7405
QIAGEN NV;54930036WK3GMCN17Z57
Reckitt Benckiser Group PLC;5493003JFSMOJG48V108
Getinge AB;5493003PZ4F570G3W735
Elekta AB;54930044O54BK617EP80
Epiroc AB;5493004Q73OEYW1SPE91
Remy Cointreau SA;5493004V6A3Z027YT216
SIG Group AG;5493004Z6P7TSVB1L042
SIG Group AG;5493004Z6P7TSVB1L042
SIG Group AG;5493004Z6P7TSVB1L042
SIG Group AG;5493004Z6P7TSVB1L042
Credit Suisse Group AG;549300506SI9CRFV9Z86
Credit Suisse Group AG;549300506SI9CRFV9Z86
Ageas SANV;5493005DJBML6LY3RV36
Ackermans & van Haaren NV;5493005E2GHATS0Z6J59
Swisscom AG;5493005SL9HHOXS3B739
AddLife AB;5493005T3M7CD7XWE013
Viaplay_Group_AB;5493006E0IJD0DHJSR89
Investment AB Latour;5493006GFBLNB3Y0Y789
Valeo;5493006IH2N2WMIBB742
Banco Santander SA;5493006QMFDDMYWIAM13
Banco Santander SA;5493006QMFDDMYWIAM13
Informa PLC;5493006VM2LKUPSEDU20
Huhtamaki Oyj;5493007050SJVMXN6L29
Scout24 SE;5493007EIKM2ENQS7U66
Novartis AG;5493007HIVTX6SY6XD66
Hiscox Ltd;5493007JXOLJ0QCY2D70
Anheuser-Busch InBev SANV;5493008H3828EMEXB082
SES SA;5493008JPA4HYMH1HX51
Cellnex Telecom SA;5493008T4YG3AQUI7P67
GN Store Nord AS;5493008U3H3W0NKPFL10
Quilter PLC;54930092XIVK28RZGM95
Neste Oyj;5493009GY1X8GQ66AM14
Red Electrica Corp SA;5493009HMD0C90GUV498
Nokia Oyj;549300A0JPRWG1KI7U06
BioMerieux;549300AK8Y0LBIQ4T071
SKF AB;549300B6HWYEE57O8J84
Carrefour SA;549300B8P6MUJ1YWTS08
Hikma Pharmaceuticals PLC;549300BNS685UXH4JI75
Worldline SAFrance;549300CJMQNCA0U4TS33
Fresenius Medical Care AG & Co KGaA;549300CP8NY40UP89Q40
Millicom International Cellular SA;549300CTHC1CP86P2G96
Proximus SADP;549300CWRXC5EP004533
AP Moller - Maersk AS;549300D2K6PKKKXVNN73
Novo Nordisk AS;549300DAQ1CVT6CXN342
Imperial Brands PLC;549300DFVPOB67JL3A42
Storskogen Group AB;549300DL3K4HLJ41KD24
Dieteren Group;549300DV5KJ23OKVTW34
Vestas Wind Systems AS;549300DYMC8BGZZC8844
Sanofi;549300E9PC51EN656011
Telefonica SA;549300EEJH4FEPDBBR25
Coca-Cola HBC AG;549300EFP3TNG7JGVE49
Lonza Group AG;549300EFW4H2TCZ71055
Aalberts NV;549300EMP9DT6Q35HZ31
Indutrade AB;549300FISLQ6CEFP1867
Svenska Cellulosa AB SCA;549300FW5JDRV1IJ0M67
Essity AB;549300G8E6YUVJ1DA153
Fastighets AB Balder;549300GHKJCEZOAEUU82
AAK AB;549300GK4LGIDDWJWL07
DNB Bank ASA;549300GKFG0RYRRQ1414
DNB Bank ASA;549300GKFG0RYRRQ1414
Castellum AB;549300GU5OHTR1T5IY68
Husqvarna AB;549300GYQIIJ3UXB7655
Husqvarna AB;549300GYQIIJ3UXB7655
Volvo AB;549300HGV012CNC8JD22
DKSH Holding AG;549300HUUUNHO6FJUS42
Warehouses De Pauw CVA;549300HWDYC5JXC85138
Warehouses De Pauw CVA;549300HWDYC5JXC85138
Samhallsbyggnadsbolaget i Norden AB;549300HX9MRFY47AH564
Partners Group Holding AG;549300I3IVVWZWDHI788
Telenor ASA;549300IM1QSBY4SLPM26
Lundin Energy AB;549300IULC8F8IGXKI15
Bayer AG;549300J4U55H3WP1XT59
TOMRA Systems ASA;549300J726JCFJU3VT89
Fabege AB;549300JNPI46XNH0PM97
adidas AG;549300JSX0Z4CW0V5023
Weir Group PLCThe;549300KDR56WHY9I3D10
SSE PLC;549300KI75VYLLMSK856
Groupe Bruxelles Lambert SA;549300KV0ZEHT2KVU152
RS GROUP PLC;549300KVXDURRKVW7R37
AutoStore Holdings Ltd;549300KYN3M0LSM5A413
FinecoBank Banca Fineco SpA;549300L7YCATGO57ZE10
Alcon Inc;549300LDT5AP8S0NBM78
Endesa SA;549300LHK07F2CHV4X31
Sagax AB;549300LJX28T6OM8DT95
Stellantis NV;549300LKT9PW7ZIBDF31
WPP PLC;549300LSGBXPYHXGDT93
MIPS AB;549300LZSA4S0L54VQ25
EssilorLuxottica SA;549300M3VH1A3ER1TB49
Ipsen SA;549300M6SGDPB4Z94P11
Avanza Bank Holding AB;549300MBWR5H8SIJLE03
CRH PLC;549300MIDJNNTH068E74
Unilever PLC;549300MKFYEKVRWML317
Chr Hansen Holding AS;549300MKPW8ZF3E8MW37
Solvay SA;549300MMVL80RTBP3O28
Hexpol AB;549300MN30TBRLYN3465
Norsk Hydro ASA;549300N1SDN71ZZ8BO45
Aker BP ASA;549300NFTY73920OYK69
ING Groep NV;549300NYKK9MWM7GGW15
ING Groep NV;549300NYKK9MWM7GGW15
Intermediate Capital Group PLC;549300OGASR5WRKJ8R68
GEA Group AG;549300PHUU0ZZWO8EO07
GEA Group AG;549300PHUU0ZZWO8EO07
Lloyds Banking Group PLC;549300PPXHEU2JF0AM85
Orkla ASA;549300PZS8G8RG6RVZ52
Beijer Ref AB;549300PZZEUVH08H4G75
Sweco AB;549300Q4Y55VICYV6U90
AddTech AB;549300QZ5U2IDRHPWL60
Metso Outotec Oyj;549300R0VN9C371W0E07
Sika AG;549300R3N69ECGYPU434
Sectra AB;549300R9ZBT8YSFFK266
Wihlborgs Fastigheter AB;549300RC1YDJPITF8X06
Ferrari NV;549300RIVY5EX8RCON76
Lifco AB;549300RTLL4VDQRCTW41
Elia Group SANV;549300S1MP1NFDIKT460
Anglo American PLC;549300S9XF92D1X8ME43
_Logitech International SA;549300SN6PRK6IJJC215
Michelin;549300SOSI58J6VIW052
Dometic Group AB;549300STIPMK5VSA7Y59
Evolution AB;549300SUH6ZR1RF6TA88
UBS Group AG;549300SZJ9VS8SGXAN81
UBS Group AG;549300SZJ9VS8SGXAN81
UBS Group AG;549300SZJ9VS8SGXAN81
UBS Group AG;549300SZJ9VS8SGXAN81
Industrivarden AB;549300TM1DLIQI3B3T37
Cofinimmo SA;549300TM914CSF6KI389
UniCredit SpA;549300TRUWO2CD2G5692
UniCredit SpA;549300TRUWO2CD2G5692
Industria de Diseno Textil SA;549300TTCXZOGZM2EY83
Roche Holding AG;549300U41AUUVOAAOB37
Alfa Laval AB;549300UCKT2UK88AG251
thyssenkrupp AG;549300UDG16DOYUPR330
Skanska AB;549300UINV5RINHGMG07
Uniper SE;549300UXRTWGIBZQ4J67
Sinch AB;549300UXY7QM6IDCGI12
OMV AG;549300V62YJ9HTLRI486
Deutsche Telekom AG;549300V9QSIG4WX4GJ96
Investor AB;549300VEBQPHRZBKUX38
Kering SA;549300VGEJKB7SVUZR78
Rentokil Initial PLC;549300VN4WV7Z6T14K68
Henkel AG & Co KGaA;549300VZCL1HTH4O4Y49
ANDRITZ AG;549300VZKC61IR5U8G96
Mowi ASA;549300W1OGQF5LZIH349
Mowi ASA;549300W1OGQF5LZIH349
Telecom Italia SpAMilano;549300W384M3RI3VXU42
Telefonaktiebolaget LM Ericsson;549300W9JLPW15XIFM52
CNH Industrial NV;549300WGC2HZ5J67V817
CNH Industrial NV;549300WGC2HZ5J67V817
Hexagon AB;549300WJFW6ILNI4TA80
RELX PLC;549300WSX3VBUFFJOO66
Electricite de France SA;549300X3UK4GG3FNMO06
Dufry AG;549300X53WDBVW7TIF57
Assicurazioni Generali SpA;549300X5UKJVE386ZB61
Thule Group AB;549300XHHOGBOERKU333
Electrolux AB;549300Y3HHZB1ZGFPJ93
Tenaris SA;549300Y7C05BKC4HZB40
Assa Abloy AB;549300YECS8HKCIMMB67
Cie Financiere Richemont SA;549300YIPGJ6UX2QPS51
BillerudKorsnas AB;549300YJUYJ9A24RXL71
Koninklijke KPN NV;549300YO0JZHAL7FVP81
Drax Group PLC;549300YPSNTXR4ZHSR98
Nibe Industrier AB;549300ZQH0FIF1P0MX67
Gjensidige Forsikring ASA;5967007LIEEXZX6FAO47
Storebrand ASA;5967007LIEEXZX7NA051
Salmar ASA;5967007LIEEXZXGDBK67
Schibsted ASA;5967007LIEEXZXHT0O36
Kongsberg Gruppen ASA;5967007LIEEXZXJ9HK73
Nordic Semiconductor ASA;5967007LIEEXZXJGFK95
Iberdrola SA;5QK37QC7NWOJ8D7WVQ45
Grafton Group PLC;635400BE9SBAG61DJ963
Ryanair Holdings PLC;635400BR2ROC1FVEBQ56
Bank of Ireland Group PLC;635400C8EK6DRI12LJ39
Smurfit Kappa Group PLC;635400CPLP8H5ITDVT56
Flutter Entertainment PLC;635400EG4YIJLJMZJ782
Kingspan Group PLC;635400HM7V74SUB9OG75
Fortum Oyj;635400IUIZZIUJSAMF76
Britvic PLC;635400L3NVMYD4BVCI53
Experian PLC;635400RXXHHYT1JTSZ26
Glanbia PLC;635400SRMCBHVMSKJS84
Kerry Group PLC;635400TLVVBNXLFHWC59
Securitas AB;635400TTYKE8EIWDS617
Prosus NV;635400Z5LQ5F9OLVT688
ASR Nederland NV;7245000G0HS48PZWUD53
Arcadis NV;7245000UZH70GO047N03
ASM International NV;7245001I22ND6ZFHX623
BE Semiconductor Industries NV;7245007A1YFLI2GNYX06
Adyen NV;724500973ODKK3IFQ447
Argenx SE;7245009C5FZE6G9ODQ71
Randstad NV;7245009EAAUUQJ0U4T57
Koninklijke Ahold Delhaize NV;724500C9GNBV20UYRX36
JDE Peets NV;724500EHG519SE5ZRT89
Just Eat Takeaway.com NV;724500FVZIBSSQ7SHI95
Universal Music Group NV;724500GJBUL3D9TW9Y18
Heineken NV;724500K5PTPSST86UQ23
Heineken Holding NV;724500M1WJLFM9TYBS04
IMCD NV;724500NSJPNFJPDAUP02
NN Group NV;724500OHYNDT9OY6Q215
Euronext NV;724500QJ4QSZ3H9QU415
Koninklijke DSM NV;724500SNT1MK246AHP04
Wolters Kluwer NV;724500TEM53I0U077B74
Akzo Nobel NV;724500XYIJUGXAA5QD70
ASML Holding NV;724500Y6DUVHQD6OXN27
Stora Enso Oyj;7437000ZP669LKUTZ738
Orion Oyj;74370029VAHCXDR7B745
Kojamo Oyj;7437007YPUOQZ8OV1R42
Wartsila OYJ Abp;743700G7A9J1PHM3X223
QT Group Oyj;743700GO2XU2ZYYDKW67
Kesko Oyj;743700OX6HSVMCAHPB95
Elisa Oyj;743700TU2S3DXWGU7H32
Sampo Oyj;743700UF3RL386WIDA22
Nokian Renkaat Oyj;743700YQIO8Y4L4WKR40
CaixaBank_SA;7CUNS533WID6K7DGFI87
Deutsche Bank AG;7LTWFZYICNSX8D621K86
Deutsche Bank AG;7LTWFZYICNSX8D621K86
Deutsche Bank AG;7LTWFZYICNSX8D621K86
Snam SpA;8156002278562044AF79
DiaSorin SpA;8156002878BDF0EE4348
Poste Italiane SpA;815600354DEDBD0BA991
Infrastrutture Wireless Italiane SpA;81560066183FE361C071
A2A SpA;81560076E3944316DB24
Atlantia SpA;8156008DEC771409C487
Hera SpA;8156009414FD99443B48
Interpump Group SpA;815600C79D0F31F4D395
Reply SpA;815600DAEFB0388F3521
Banco BPM SpA;815600E4E6DCD2D25E30
Moncler SpA;815600EBD7FB00525B20
Italgas SpA;815600F25FF44EF1FA76
Recordati Industria Chimica e Farmaceuti;815600FBF92FD3531704
Commerzbank AG;851WYGNLUQLFZBSYGB56
Linde PLC;8945002PAZHZLBGKGF02
Deutsche Post AG;8ER8GIG7CSMVD8VUFE78
Deutsche Post AG;8ER8GIG7CSMVD8VUFE78
National Grid PLC;8R95QZMKZLJX5Q2XR704
BAE Systems PLC;8SVCSVKSGDWMW2QHOH83
ACS Actividades de Construccion y Servic;95980020140005507072
Ferrovial SA;95980020140005703680
Fluidra SA;95980020140004999168
Siemens Gamesa Renewable Energy SA;9598004BR8D81D3M1D64
Allfunds_Group_Plc;9598005U8TZQ8Q64SC71
Grifols SA;959800HSSNXWRKBK4N60
Merlin Properties Socimi SA;959800L8KD863DP30X04
Aena SME SA;959800R7QMXKF0NFMT29
International Consolidated Airlines Grou;959800TZHQRUSH1ESL13
Arkema SA;9695000EHMS84KKP2785
Arkema SA;9695000EHMS84KKP2785
Amundi SA;96950010FL2T1TJKR531
2_Sopra Steria Group SACA;96950020QIOHAAK9V551
Alstom SA;96950032TUYMW11FB530
Alstom SA;96950032TUYMW11FB530
Gecina SA;9695003E4MMA10IBTR26
Teleperformance;9695004GI61FHFFNRG61
SCOR SE;96950056ULJ4JI7V3752
Dassault Systemes SE;96950065LBWY0APQIM86
Edenred;9695006LOD5B2D7Y0N70
Capgemini SE;96950077L0TN7BAROX36
Getlink SE;9695007ZEQ7M0OE74G82
Schneider Electric SE;969500A1YF1XUYYXS284
Eurazeo SE;969500C656AA39O94N60
Eurazeo SE;969500C656AA39O94N60
Dassault Aviation SA;969500CVFTUT88V8QN95
